Nav_Date,Nifty_100,Nifty_Midcap_150,Nifty_Smallcap_250,Nifty_500,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037
2020-04-21,9175.650,4856.800,3506.750,7395.850,175.690,26.450,163.615,364.345,174.050,33.680,191.442,101.124,205.260,34.180,47.418,41.735,105.860,31.540,81.349,22.028,25.960,42.167,28.119,16.356,18.820,55.916,318.820,9.910,180.403,86.391,8.085,250.030,100.776,46.156,573.910,10.540,34.123,489.743,66.866,28.315,121.433
2020-04-22,9372.300,4890.550,3523.500,7533.800,178.070,26.930,166.550,368.946,177.531,34.160,194.980,102.674,205.190,34.400,47.957,41.970,106.780,32.021,82.162,21.994,26.210,42.207,28.302,16.401,18.870,56.799,323.330,10.030,182.553,87.592,8.200,252.180,102.383,46.404,580.470,10.720,34.462,495.150,68.210,28.736,122.687
2020-04-23,9486.700,4945.550,3570.750,7625.300,180.090,27.280,168.654,371.838,179.244,34.520,197.439,103.900,207.830,34.730,48.572,42.356,107.860,32.266,83.139,22.321,26.510,42.541,28.679,16.499,19.070,57.342,327.310,10.170,184.804,88.502,8.300,254.660,103.614,46.961,589.180,10.870,34.931,498.313,68.934,29.058,124.117
2020-04-24,9323.700,4859.250,3504.300,7493.450,176.580,26.850,164.609,365.843,176.946,33.880,194.057,101.996,204.350,34.340,48.004,41.621,106.140,31.682,81.357,21.743,25.910,42.032,28.133,16.226,18.660,56.264,320.130,9.990,182.157,87.083,8.157,249.850,101.625,46.053,577.210,10.710,34.181,490.580,67.639,28.520,122.090
2020-04-27,9462.150,4941.000,3533.000,7603.950,178.960,27.220,167.817,369.553,178.663,34.350,197.263,103.198,207.220,35.050,48.875,42.429,108.210,32.294,82.485,21.915,26.170,42.615,28.350,16.395,18.630,57.079,325.650,10.190,184.727,88.038,8.301,251.570,103.263,46.436,586.990,10.880,34.795,495.247,68.565,28.998,124.153
2020-04-28,9545.050,4996.900,3558.700,7672.450,180.310,27.360,169.814,372.028,179.553,34.540,199.101,104.158,209.010,35.230,49.330,42.838,109.440,32.532,83.156,22.191,26.510,43.054,28.409,16.441,18.710,57.299,329.250,10.320,185.845,88.543,8.368,251.880,104.418,46.896,592.450,10.920,35.158,497.254,69.119,29.327,125.537
2020-04-29,9710.700,5058.300,3590.550,7797.200,183.160,27.650,172.496,379.546,182.578,35.090,201.952,105.892,210.800,35.630,49.731,43.374,110.130,32.818,84.149,22.361,26.680,43.442,28.651,16.595,18.820,57.939,333.910,10.400,187.948,90.033,8.475,256.740,105.486,47.533,605.040,11.040,35.612,506.799,70.006,29.754,127.390
2020-04-30,10006.900,5149.600,3615.750,8012.900,188.200,28.180,177.368,390.874,186.868,36.230,207.488,108.683,214.810,36.120,50.539,43.909,111.530,33.359,85.938,22.678,26.900,43.908,28.879,16.818,19.140,58.783,341.280,10.600,192.219,92.302,8.630,264.980,107.533,48.756,618.740,11.220,36.284,519.905,71.301,30.416,130.604
2020-05-04,9454.050,4950.300,3502.000,7596.900,179.000,26.920,167.092,369.884,176.737,34.340,196.924,103.123,208.310,35.010,48.487,42.211,107.920,31.951,82.641,21.894,26.030,42.325,27.975,16.255,18.490,56.718,325.400,10.160,183.500,87.729,8.211,252.270,102.920,46.607,589.110,10.730,34.551,493.403,67.676,28.938,124.372
2020-05-05,9358.900,4918.050,3459.050,7523.050,177.090,26.570,164.985,366.986,175.109,34.050,195.187,101.789,207.270,34.640,48.159,41.974,107.420,31.754,82.383,21.817,25.850,41.769,27.750,16.150,18.260,56.246,321.370,10.080,182.324,86.969,8.127,250.870,102.174,46.195,580.650,10.580,34.141,488.543,67.112,28.635,123.071
2020-05-06,9428.550,4943.650,3472.650,7575.500,178.700,26.740,167.164,367.946,176.329,34.370,196.834,102.816,208.270,34.960,48.547,42.104,107.770,31.864,83.091,21.900,26.070,41.951,27.867,16.206,18.320,56.406,325.780,10.190,183.808,87.291,8.180,253.630,102.703,46.488,587.480,10.650,34.489,489.617,67.600,28.881,124.101
2020-05-07,9351.450,4919.850,3479.500,7520.850,177.180,26.470,165.451,364.580,174.713,34.040,195.473,101.768,205.780,34.770,48.326,41.912,107.670,31.700,82.887,21.896,25.970,41.920,27.935,16.214,18.320,56.020,323.820,10.110,181.689,86.395,8.114,250.390,102.140,46.262,582.940,10.540,34.092,484.416,67.101,28.671,122.794
2020-05-08,9408.650,4902.250,3453.400,7552.000,177.720,26.770,166.489,362.935,176.166,34.180,196.476,102.332,204.240,34.830,48.326,41.708,107.540,31.574,82.601,21.672,25.750,41.674,27.755,16.049,18.130,55.527,326.290,10.120,181.448,86.130,8.150,249.540,102.463,45.890,585.450,10.660,34.243,480.674,67.491,28.815,123.061
2020-05-11,9411.700,4921.850,3440.300,7556.400,177.490,26.720,166.344,361.803,175.675,34.240,196.756,102.393,204.510,35.010,48.612,41.881,107.580,31.657,83.155,21.592,25.630,41.440,27.648,16.001,18.060,55.177,326.120,10.130,181.611,85.794,8.150,249.370,102.724,46.026,583.060,10.650,34.283,478.911,67.120,28.921,123.168
2020-05-12,9372.250,4889.600,3412.600,7520.900,177.270,26.630,166.285,362.095,174.715,34.290,195.852,102.359,203.140,34.890,48.377,41.723,106.760,31.346,82.650,21.472,25.380,41.260,27.422,15.891,17.980,54.712,323.900,10.110,181.536,85.625,8.102,251.420,101.908,46.046,583.800,10.620,34.321,480.150,66.773,28.715,123.133
2020-05-13,9552.650,4983.100,3490.800,7667.000,180.570,26.890,170.055,371.943,178.034,34.950,199.739,104.229,206.360,35.220,49.148,42.447,108.010,31.906,83.826,21.938,25.800,42.024,27.996,16.220,18.350,55.879,329.910,10.170,184.823,87.392,8.237,255.810,104.030,46.878,593.440,10.730,34.971,494.153,67.984,29.427,124.895
2020-05-14,9333.100,4960.850,3458.800,7514.550,176.650,26.400,166.516,362.501,174.565,34.090,195.462,101.938,205.160,35.130,48.980,42.099,107.510,31.700,83.660,21.717,25.610,42.018,27.738,16.066,18.160,55.496,324.500,10.080,182.422,85.490,8.133,251.720,102.479,46.184,582.330,10.560,34.528,482.511,66.976,29.005,123.740
2020-05-15,9320.600,4948.050,3461.150,7504.050,176.450,26.430,166.233,361.831,174.144,34.140,195.427,101.770,205.360,35.010,49.052,42.086,107.620,31.700,83.519,21.732,25.600,42.129,27.579,16.095,18.120,55.438,323.350,10.060,182.588,85.458,8.117,251.670,102.257,46.286,581.530,10.560,34.413,480.863,66.657,28.903,123.247
2020-05-18,9004.400,4753.850,3352.500,7245.250,170.350,25.830,158.674,347.882,168.437,32.910,188.473,98.346,197.470,34.030,47.384,40.695,104.020,30.602,80.546,20.951,24.960,40.873,26.711,15.568,17.520,53.644,311.340,9.820,175.866,82.385,7.831,242.170,99.013,44.633,558.660,10.300,33.110,462.469,64.426,27.800,119.061
2020-05-19,9060.150,4766.700,3352.500,7284.500,172.000,26.040,160.252,349.901,169.562,33.280,189.523,99.199,198.370,34.200,47.278,40.632,104.080,30.663,80.825,20.972,24.850,40.489,26.763,15.581,17.540,53.648,314.140,9.940,177.263,82.829,7.881,246.210,99.006,45.170,565.720,10.390,33.415,462.373,64.748,27.822,119.884
2020-05-20,9249.150,4834.150,3394.000,7426.850,175.400,26.480,164.067,356.910,173.074,33.940,192.938,101.046,201.110,34.760,48.176,41.353,105.600,31.158,82.059,21.200,25.160,41.141,27.001,15.762,17.780,54.365,320.770,10.030,179.978,84.323,8.023,249.840,100.732,45.889,576.220,10.570,34.118,472.189,66.005,28.344,122.560
2020-05-21,9299.800,4873.900,3416.350,7470.600,175.570,26.540,164.340,358.703,173.864,34.210,193.769,101.762,201.810,34.950,48.378,41.620,106.420,31.318,82.816,21.302,25.250,41.377,27.224,15.877,17.790,54.721,321.100,10.120,180.560,84.980,8.058,251.250,100.870,46.349,578.660,10.590,34.183,474.731,66.270,28.498,123.186
2020-05-22,9226.800,4849.000,3402.050,7416.000,174.470,26.400,162.764,354.403,172.727,33.980,192.718,101.324,201.320,34.740,48.327,41.461,106.090,31.341,82.641,21.148,25.240,41.117,27.148,15.846,17.710,54.602,318.860,10.050,179.652,84.425,8.018,249.840,100.877,46.112,573.750,10.530,33.953,469.738,65.901,28.374,122.496
2020-05-26,9219.600,4903.800,3422.700,7424.500,174.710,26.160,162.914,355.321,172.531,34.040,192.985,101.187,203.400,34.860,48.718,41.680,107.710,31.747,83.200,21.253,25.370,41.321,27.160,16.033,17.900,55.102,320.040,10.060,179.488,84.926,8.048,251.180,102.024,46.306,573.700,10.440,33.891,471.224,65.857,28.604,122.392
2020-05-27,9471.600,4920.500,3440.750,7595.550,179.080,26.590,167.229,366.795,177.019,34.860,197.865,103.529,204.080,34.770,48.968,41.923,108.090,31.860,83.214,21.382,25.450,41.530,27.326,16.015,18.070,55.424,324.370,10.140,182.739,86.673,8.171,255.160,103.678,47.014,586.490,10.590,34.442,485.390,67.217,29.207,123.630
2020-05-28,9648.200,4991.000,3498.400,7732.250,182.220,26.950,170.719,372.787,180.386,35.520,201.509,105.219,206.480,35.220,49.630,42.487,109.180,32.276,84.433,21.744,25.700,42.100,27.846,16.271,18.270,56.350,329.240,10.320,185.827,87.752,8.303,259.450,105.191,47.800,595.700,10.730,34.956,492.772,68.322,29.701,125.969
